date,river_discharge_m3s,location
2011-04-14 16:00:00,31.73407,Petaling
2011-04-15 16:00:00,33.914032,Petaling
2011-04-16 16:00:00,28.785162,Petaling
2011-04-17 16:00:00,31.809532,Petaling
2011-04-18 16:00:00,29.478947,Petaling
2011-04-19 16:00:00,27.707802,Petaling
2011-04-20 16:00:00,41.756294,Petaling
2011-04-21 16:00:00,33.59394,Petaling
2011-04-22 16:00:00,28.376501,Petaling
2011-04-23 16:00:00,25.242188,Petaling
2011-04-24 16:00:00,36.23917,Petaling
2011-04-25 16:00:00,41.07266,Petaling
2011-04-26 16:00:00,33.040813,Petaling
2011-04-27 16:00:00,38.81072,Petaling
2011-04-28 16:00:00,51.48075,Petaling
2011-04-29 16:00:00,48.43107,Petaling
2011-04-30 16:00:00,59.255955,Petaling
2011-05-01 16:00:00,48.545025,Petaling
2011-05-02 16:00:00,37.10658,Petaling
2011-05-03 16:00:00,49.699078,Petaling
2011-05-04 16:00:00,44.603695,Petaling
2011-05-05 16:00:00,33.914032,Petaling
2011-05-06 16:00:00,26.227009,Petaling
2011-05-07 16:00:00,20.727013,Petaling
2011-05-08 16:00:00,16.579237,Petaling
2011-05-09 16:00:00,13.2889385,Petaling
2011-05-10 16:00:00,10.721953,Petaling
2011-05-11 16:00:00,9.25652,Petaling
2011-05-12 16:00:00,19.558905,Petaling
2011-05-13 16:00:00,17.967058,Petaling
2011-05-14 16:00:00,19.796965,Petaling
2011-05-15 16:00:00,27.44461,Petaling
2011-05-16 16:00:00,32.96253,Petaling
2011-05-17 16:00:00,58.15616,Petaling
2011-05-18 16:00:00,65.06935,Petaling
2011-05-19 16:00:00,48.888443,Petaling
2011-05-20 16:00:00,40.975903,Petaling
2011-05-21 16:00:00,38.445724,Petaling
2011-05-22 16:00:00,41.266865,Petaling
2011-05-23 16:00:00,34.89219,Petaling
2011-05-24 16:00:00,31.21069,Petaling
2011-05-25 16:00:00,27.054333,Petaling
2011-05-26 16:00:00,22.878115,Petaling
2011-05-27 16:00:00,20.330448,Petaling
2011-05-28 16:00:00,16.660378,Petaling
2011-05-29 16:00:00,14.5238695,Petaling
2011-05-30 16:00:00,13.689264,Petaling
2011-05-31 16:00:00,16.90606,Petaling
2011-06-01 16:00:00,19.044722,Petaling
2011-06-02 16:00:00,16.298164,Petaling
2011-06-03 16:00:00,17.238958,Petaling
2011-06-04 16:00:00,19.323568,Petaling
2011-06-05 16:00:00,20.67704,Petaling
2011-06-06 16:00:00,16.741894,Petaling
2011-06-07 16:00:00,13.825181,Petaling
2011-06-08 16:00:00,17.238958,Petaling
2011-06-09 16:00:00,17.663797,Petaling
2011-06-10 16:00:00,16.33804,Petaling
2011-06-11 16:00:00,12.835665,Petaling
2011-06-12 16:00:00,10.587774,Petaling
2011-06-13 16:00:00,9.914403,Petaling
2011-06-14 16:00:00,9.447204,Petaling
2011-06-15 16:00:00,7.8104887,Petaling
2011-06-16 16:00:00,5.966265,Petaling
2011-06-17 16:00:00,4.9429216,Petaling
2011-06-18 16:00:00,4.9429216,Petaling
